67, Train Loss,0.131,Train Acc,95.5,Test Loss,0.351, Test Acc,90.29
68, Train Loss,0.129,Train Acc,95.57,Test Loss,0.349, Test Acc,90.18
69, Train Loss,0.131,Train Acc,95.48,Test Loss,0.353, Test Acc,90.22
70, Train Loss,0.127,Train Acc,95.62,Test Loss,0.35, Test Acc,90.39
71, Train Loss,0.126,Train Acc,95.63,Test Loss,0.361, Test Acc,89.94
72, Train Loss,0.125,Train Acc,95.72,Test Loss,0.357, Test Acc,90.39
73, Train Loss,0.123,Train Acc,95.78,Test Loss,0.355, Test Acc,90.48
74, Train Loss,0.118,Train Acc,96.01,Test Loss,0.358, Test Acc,90.33
75, Train Loss,0.118,Train Acc,95.89,Test Loss,0.358, Test Acc,90.15
76, Train Loss,0.116,Train Acc,95.96,Test Loss,0.35, Test Acc,90.41
77, Train Loss,0.114,Train Acc,96.16,Test Loss,0.356, Test Acc,90.36
78, Train Loss,0.116,Train Acc,96.08,Test Loss,0.353, Test Acc,90.39
79, Train Loss,0.115,Train Acc,96.06,Test Loss,0.368, Test Acc,90.37
80, Train Loss,0.115,Train Acc,96.02,Test Loss,0.353, Test Acc,90.39
81, Train Loss,0.113,Train Acc,96,Test Loss,0.361, Test Acc,90.39
82, Train Loss,0.112,Train Acc,96.13,Test Loss,0.364, Test Acc,90.16
83, Train Loss,0.111,Train Acc,96.18,Test Loss,0.357, Test Acc,90.4
84, Train Loss,0.11,Train Acc,96.31,Test Loss,0.352, Test Acc,90.36
85, Train Loss,0.11,Train Acc,96.24,Test Loss,0.363, Test Acc,90.15
86, Train Loss,0.112,Train Acc,96.09,Test Loss,0.363, Test Acc,90.21
87, Train Loss,0.107,Train Acc,96.35,Test Loss,0.363, Test Acc,90.5
88, Train Loss,0.109,Train Acc,96.29,Test Loss,0.357, Test Acc,90.37
89, Train Loss,0.111,Train Acc,96.05,Test Loss,0.346, Test Acc,90.34
90, Train Loss,0.109,Train Acc,96.19,Test Loss,0.36, Test Acc,90.52
91, Train Loss,0.111,Train Acc,96.15,Test Loss,0.366, Test Acc,90.32
92, Train Loss,0.11,Train Acc,96.18,Test Loss,0.362, Test Acc,90.25
93, Train Loss,0.11,Train Acc,96.22,Test Loss,0.356, Test Acc,90.36
94, Train Loss,0.11,Train Acc,96.23,Test Loss,0.356, Test Acc,90.61
95, Train Loss,0.111,Train Acc,96.23,Test Loss,0.349, Test Acc,90.55
96, Train Loss,0.111,Train Acc,96.19,Test Loss,0.353, Test Acc,90.37
97, Train Loss,0.112,Train Acc,96.12,Test Loss,0.347, Test Acc,90.4
98, Train Loss,0.112,Train Acc,96.18,Test Loss,0.349, Test Acc,90.41
99, Train Loss,0.11,Train Acc,96.23,Test Loss,0.354, Test Acc,90.47
100, Train Loss,0.11,Train Acc,96.24,Test Loss,0.348, Test Acc,90.46
101, Train Loss,0.111,Train Acc,96.08,Test Loss,0.354, Test Acc,90.39
102, Train Loss,0.108,Train Acc,96.27,Test Loss,0.364, Test Acc,90.46
103, Train Loss,0.112,Train Acc,96.15,Test Loss,0.358, Test Acc,90.16
104, Train Loss,0.112,Train Acc,96.17,Test Loss,0.361, Test Acc,90.2
105, Train Loss,0.108,Train Acc,96.27,Test Loss,0.358, Test Acc,90.31
106, Train Loss,0.11,Train Acc,96.16,Test Loss,0.35, Test Acc,90.49
107, Train Loss,0.11,Train Acc,96.21,Test Loss,0.357, Test Acc,90.63
108, Train Loss,0.111,Train Acc,96.26,Test Loss,0.355, Test Acc,90.43
109, Train Loss,0.112,Train Acc,96.17,Test Loss,0.352, Test Acc,90.47
110, Train Loss,0.108,Train Acc,96.23,Test Loss,0.356, Test Acc,90.43
111, Train Loss,0.109,Train Acc,96.3,Test Loss,0.352, Test Acc,90.35
112, Train Loss,0.109,Train Acc,96.25,Test Loss,0.356, Test Acc,90.45
113, Train Loss,0.108,Train Acc,96.23,Test Loss,0.348, Test Acc,90.45
114, Train Loss,0.111,Train Acc,96.23,Test Loss,0.358, Test Acc,90.52
115, Train Loss,0.113,Train Acc,96.17,Test Loss,0.351, Test Acc,90.32
116, Train Loss,0.113,Train Acc,96.12,Test Loss,0.366, Test Acc,90.08
117, Train Loss,0.111,Train Acc,96.14,Test Loss,0.359, Test Acc,90.35
118, Train Loss,0.112,Train Acc,96.18,Test Loss,0.365, Test Acc,90.32
119, Train Loss,0.11,Train Acc,96.28,Test Loss,0.355, Test Acc,90.41
120, Train Loss,0.111,Train Acc,96.2,Test Loss,0.359, Test Acc,90.43
121, Train Loss,0.112,Train Acc,96.15,Test Loss,0.357, Test Acc,90.45
122, Train Loss,0.107,Train Acc,96.29,Test Loss,0.349, Test Acc,90.49
123, Train Loss,0.11,Train Acc,96.22,Test Loss,0.354, Test Acc,90.43
124, Train Loss,0.11,Train Acc,96.19,Test Loss,0.359, Test Acc,90.44
125, Train Loss,0.108,Train Acc,96.19,Test Loss,0.361, Test Acc,90.32
126, Train Loss,0.11,Train Acc,96.18,Test Loss,0.355, Test Acc,90.41
127, Train Loss,0.105,Train Acc,96.42,Test Loss,0.354, Test Acc,90.57
128, Train Loss,0.109,Train Acc,96.2,Test Loss,0.353, Test Acc,90.36
129, Train Loss,0.109,Train Acc,96.23,Test Loss,0.355, Test Acc,90.43
130, Train Loss,0.11,Train Acc,96.11,Test Loss,0.352, Test Acc,90.46
